,SS,label
SubSec 2.1.1,2.1.1,The network services necessary to meet the range of UIC requirements are detailedbelow. These services are to be considered as a minimum set for implementationwithin each UIC standard network. Railways may implement additional networkservices as desired. (I)
SubSec 2.2,2.2,Voice services
SubSec 2.2.1,2.2.1,This section describes the generic voice telephony services which are to be supportedby the EIRENE network: (M)- point-to-point voice calls;- public emergency voice calls;- broadcast voice calls;- group voice calls;- multi-party voice calls.
SubSec 2.2.10,2.2.10,The local area over which broadcast calls shall be implemented shall be able to bemodified within the network. (M)
SubSec 2.2.11,2.2.11,"It shall only be possible for the user who initiated the call to talk, other users can onlylisten. (M)Group voice calls"
SubSec 2.2.12,2.2.12,The system shall support group voice calls. (M)
SubSec 2.2.13,2.2.13,"Group voice calls provide voice communications between a number of users in a predefinedlocal area, all of whom are members of the same call group. (I)"
SubSec 2.2.14,2.2.14,The composition of call groups shall be able to be modified within the network. Asingle user shall be able to be a member of one or more call groups. (M)
SubSec 2.2.15,2.2.15,The local area over which group calls are implemented shall be able to be modifiedwithin the network. (M)
SubSec 2.2.16,2.2.16,It is acceptable that only one mobile user involved in the group call may talk at anytime. In this case:- It shall be possible for controllers to speak at any time during the call. (M)- A mechanism shall be provided by the system to arbitrate between those userswishing to speak within the group call. (M)Multi-party voice calls
SubSec 2.2.17,2.2.17,The system shall support multi-party voice communications between up to sixdifferent parties. (M)
SubSec 2.2.18,2.2.18,Any of the parties involved in a multi-party voice call shall be able to talksimultaneously. (M)
SubSec 2.2.2,2.2.2,All voice call services shall be able to operate between any combination of fixed andmobile equipment users. (M)Point-to-point voice calls
SubSec 2.2.3,2.2.3,The system shall support point-to-point voice calls between any two call parties. (M)
SubSec 2.2.4,2.2.4,Such point-to-point calls shall allow both parties to talk simultaneously. (M)Public emergency voice calls
SubSec 2.2.5,2.2.5,The system shall allow a user to make public emergency point-to-point voice calls. (M)
SubSec 2.2.6,2.2.6,Such emergency calls include ‘112’ calls and may not be used for railway emergencies.(I)Broadcast voice calls
SubSec 2.2.7,2.2.7,The system shall support broadcast voice calls. (M)
SubSec 2.2.8,2.2.8,"Broadcast voice calls provide one-way voice communications from a single user tomultiple users in a pre-defined local area, all of whom are members of the same callgroup. (I)"
SubSec 2.2.9,2.2.9,The composition of call groups shall be able to be modified within the network. Asingle user shall be able to be a member of one or more call groups. (M)
SubSec 2.3,2.3,Data services
SubSec 2.3.1,2.3.1,The EIRENE network will provide data services to support the following dataapplications:- text messages; (O)- general data applications; (M)- automatic fax; (O)- train control applications. (O)Text messages
SubSec 2.3.10,2.3.10,The priority scheme for calls described in section 10.2 is also valid for dataapplications. (I)Automatic fax
SubSec 2.3.11,2.3.11,The network should support fax transmissions between the ground and mobile users.(O)
SubSec 2.3.12,2.3.12,"Where fax functionality is provided, it shall be possible to interrupt the fax to make orreceive a high priority voice or data call. (M)Train control applications"
SubSec 2.3.13,2.3.13,"Where ERTMS/ETCS level 2 or 3 is implemented, the network shall be capable ofsupporting data communications for that train control system. (M)"
SubSec 2.3.14,2.3.14,The communications requirements for ERTMS/ETCS are included in the document‘Summary of ERTMS Communications Requirements’6. (I)
SubSec 2.3.15,2.3.15,"Communications for train control may be characterised as low data rate per train;however, in some areas there will be a high density of trains requiring simultaneouscommunications. (I)"
SubSec 2.3.16,2.3.16,The priority scheme for calls described in section 10.2 is also valid for train controlapplications. (I)
SubSec 2.3.2,2.3.2,The network should support the transmission of point-to-point and point-tomultipointtext messages from the ground to mobile users. (O)
SubSec 2.3.3,2.3.3,The network should support the receipt of mobile-originated text messages by theground. (O)
SubSec 2.3.4,2.3.4,"If the text message facility is implemented, it shall not interfere with the ability of usersto make or receive high priority voice or data calls. (M)General data applications"
SubSec 2.3.5,2.3.5,Support is required for a range of data communications between the ground andmobile users. Such applications may include: (I)- timetable information;- maintenance and diagnostic applications;- e-mail;- remote database access.
SubSec 2.3.6,2.3.6,The network shall support point-to-point data communications. (M)
SubSec 2.3.7,2.3.7,Deleted.
SubSec 2.3.8,2.3.8,The network shall support data rates of at least 2.4 kbit/s. (M)
SubSec 2.3.9,2.3.9,Higher data rates will be required by some data applications in order to provide thenecessary performance and acceptable transmission times. (I)
SubSec 2.4,2.4,Call related services
SubSec 2.4.1,2.4.1,The EIRENE network will support the following call related services:- display of identity of called/calling user; (M)- restriction of display of called/calling user; (O)- priority and pre-emption; (M)- closed user group; (M)- call forwarding; (M)- call hold; (M)- call waiting; (M)- charging information; (O)- call barring. (M)Display of identity
SubSec 2.4.10,2.4.10,It shall be possible for an incoming call or data message for one user to be forwarded toanother user using functionality provided by the network. (M)
SubSec 2.4.11,2.4.11,"In the case of voice calls, it shall be possible for the user who is attempting to forward acall to converse with the intended recipient prior to forwarding. (M)"
SubSec 2.4.12,2.4.12,There are a number of sub-classes of call forwarding to be supported by the network:- automatically forward the incoming call without any user interaction(unconditional); (M)- automatically forward the incoming call without user interaction if the user is busyin an existing call (busy); (M)- automatically forward the incoming call if there is no reply from the intendedrecipient (no reply); (O)- automatically forward the incoming call if the intended recipient cannot becontacted via the network (not reachable). (O)Call hold
SubSec 2.4.13,2.4.13,The network shall allow the user to temporarily exit from an existing call by puttingthe call on hold. (M)
SubSec 2.4.14,2.4.14,It shall be possible for the user to re-join the call which is on hold at any time. (M)Call waiting
SubSec 2.4.15,2.4.15,"The network shall provide the ability to inform a user, who is involved in an existingcall, of attempts by other users to contact them. (M)Charging information"
SubSec 2.4.16,2.4.16,"Where network services are chargeable, it should be possible for the network toprovide information about call rates and on-going call charges. (O)Call barring"
SubSec 2.4.17,2.4.17,"It shall be possible, using network management or maintenance facilities, to preventindividual users from: (M)- making calls to:- another network (fixed or mobile) (eg can only call on home network);- certain types of numbers within or external to the network (eg cannot callteleshopping numbers);- certain pre-defined telephone numbers (eg cannot call drivers and on-trainusers);- receiving calls from:- all other networks (fixed or mobile);- certain other networks (fixed or mobile);- certain types of numbers within or external to the network;- certain pre-defined telephone numbers."
SubSec 2.4.2,2.4.2,It shall be possible for the equipment to display the identity of the called or callingparty in the form of a standard telephone number. (M)
SubSec 2.4.3,2.4.3,It shall be possible to display the identity of the called or calling party as a textualdescription of their function. (M)Restriction of display of identity
SubSec 2.4.4,2.4.4,"It should be possible for the network to prevent the identity of certain users from beingdisplayed on the mobile, either when being called, calling or both. (O)Priority and pre-emption"
SubSec 2.4.5,2.4.5,The network shall provide a mechanism whereby calls may be assigned one of anumber of different priority levels. (M)
SubSec 2.4.6,2.4.6,This mechanism shall allow calls with a higher assigned priority to override (pre-empt)existing calls of a lower priority. (M)
SubSec 2.4.7,2.4.7,Pre-empted calls will be discontinued and the new call of a higher priority shall beconnected instead. (M)Closed user group
SubSec 2.4.8,2.4.8,The group of users who may access the facilities of the EIRENE network shall belimited. (M)
SubSec 2.4.9,2.4.9,Any user who is not within the list of allowed EIRENE users shall not be able to gainaccess to any of the functions and services provided by the network. (M)Call forwarding
SubSec 2.5,2.5,Railway specific services
SubSec 2.5.1,2.5.1,The EIRENE network shall also provide support for the following railway specificservices:- functional addressing including registration/deregistration (see section 11); (M)- location dependent addressing (see section 11); (M)- shunting mode (see section 14); (M)- Railway emergency calls (see section 13). (M)
SubSec 3.,3.,Network configuration;
SubSec 3.1,3.1,Introduction
SubSec 3.1.1,3.1.1,This section describes the requirements for the EIRENE network and the performancelevels which are to be achieved. The aim is to provide interoperability betweennetworks and a consistent level of service. (I)
SubSec 3.1.2,3.1.2,It may be necessary to supplement this Functional Requirements Specification withspecial requirements for supporting the train control application. Further informationon the communications requirements to support ERTMS can be found in the ‘Summaryof ERTMS Communication Requirements’ document6. (I)
SubSec 3.2,3.2,Coverage and performance
SubSec 3.2.1,3.2.1,"For network planning, the coverage level is defined in terms of time and area wherethe minimum signal criteria are achieved. (I)"
SubSec 3.2.2,3.2.2,The level of coverage should be at least 95% of the time over 95% of the designatedcoverage area for a radio installed in a vehicle with an external antenna. (O)
SubSec 3.2.3,3.2.3,The network shall support all EIRENE-compliant mobiles. (M)
SubSec 3.2.4,3.2.4,The land-based part of the system shall provide communications for mobiles whenstationary and when travelling at speeds up to the maximum allowable line speed or
SubSec 3.3,3.3,Network interconnection
SubSec 3.3.1,3.3.1,"(Network selection requirements for mobiles have been moved to sections 5, 6 and 7)."
SubSec 3.3.2,3.3.2,Deleted.
SubSec 3.3.3,3.3.3,"Network interconnection is subject to a bilateral agreement between networkoperators. The interconnection between the networks must, as a minimum, becompliant with applicable open specifications. (I)"
SubSec 3.3.4,3.3.4,"During the process of moving from one GSM-R network to another, the system mustminimise the inconvenience to the user. (I)"
SubSec 3.4,3.4,Call set-up time requirement
SubSec 3.4.1,3.4.1,Call set-up time requirements are dependent mainly upon priority (see section 10.2). (I)
SubSec 3.4.2,3.4.2,The required call set-up times shall be achieved in 95% of cases. (M)
SubSec 3.4.2i,3.4.2i,The requirements for end-to-end call set-up performance are indicated in table 3-1. (I)
SubSec 3.4.3,3.4.3,Call set-up times for 99% of cases shall not be more than 1.5 times the required call setuptime. (M)
SubSec 3.4.4,3.4.4,Set-up times shall include the time required for any translation of functional numbersinternal to the EIRENE network. (M)
SubSec 3.5,3.5,Broadcast and group call areas
SubSec 3.5.1,3.5.1,"Where fixed network users are involved in a group or broadcast call, fixed networkusers will be pre-defined and will not change during the course of the call. (I)"
SubSec 3.5.2,3.5.2,"The group or broadcast call area used will have the effect of determining whichmobiles can participate in the call (ie those currently within the area defined). It shallbe possible to determine the area over which the call takes place by one, or acombination, of the following: (M)- the location of the call initiator (if mobile-originated);- the identity of the group being called (eg all users, all trains, etc);- a prefix to the group identity specifying the call area (if fixed network-initiated)."
SubSec 3.5.3,3.5.3,"Any group or broadcast calls initiated in a given location shall be broadcast over anassociated area based on the location of the call originator, and also to any fixednetwork numbers associated with the originating location. (M)"
SubSec 3.5.4,3.5.4,The definition of each broadcast or group call area should take into account factorssuch as the speed of trains on the line (stopping distance) and the operational controlareas. (O)
SubSec 3.5.5,3.5.5,It is acceptable that mobiles which move out of the call area during the call be droppedfrom the call. (I)
SubSec 3.5.6,3.5.6,Mobiles configured for reception of railway emergency calls entering into a call areawhere a railway emergency call is ongoing shall automatically join this call. (M)
SubSec 3.5.7,3.5.7,Cab Radios configured for reception of a call to all drivers in the same area entering anarea where a call to all drivers in the same area is ongoing shall automatically join thiscall unless involved in a higher priority call or involved in a call of the same priority.(M)
SubSec 3.5.8,3.5.8,Requirement 3.5.7 needs further technical specification changes before fieldimplementation can be achieved. (I)PAGE LEFT INTENTIONALLY BLANK
SubSec 4.,4.,Mobile equipment core specification;
SubSec 4.1,4.1,Introduction
SubSec 4.1.1,4.1.1,"All EIRENE mobiles are specified with a common level of basic services, facilities andfeatures. This section of the specification gives details of these core requirements, whilesections 5, 6 and 7 detail requirements specific to each of the radio types. (I)"
SubSec 4.1.1i,4.1.1i,"Where there are mandatory requirements for human-machine interface attributes thatare not defined in this specification, the decision for the way of presentation is anational issue. In any case, these national solutions must not conflict with those of theCENELEC Standard, in particular for the actions required from the drivers of trainspassing the borders. (I)"
SubSec 4.1.2,4.1.2,"Three distinct mobile radio types are required, based on the type of role they willperform and the environment in which they will operate, as follows: (I)a) Cab radio – for use by the driver of a train and/or by other on-train systems, egERTMS/ETCS;b) General purpose radio – for general use by railway personnel;c) Operational radio – for use by railway personnel involved in train operationssuch as shunting and trackside maintenance.Note: It is possible that the General purpose and Operational radios may have anumber of variants to meet railway requirements (eg handheld and vehicle mounted)."
SubSec 4.1.3,4.1.3,"It shall be possible to operate all mobiles in the frequency bands around 900 MHz,allocated for use by the railways, and in the public GSM networks. (M)"
SubSec 4.1.4,4.1.4,Mobile equipment shall function correctly when travelling at speeds from 0 km/h to
SubSec 4.2,4.2,Services and facilities
SubSec 4.2.1,4.2.1,"The following voice telephony services, identified in section 2, are to be supported foreach type of mobile radio:Cab radio General purposeradioOperational radioPoint-to-point voice calls M M MPublic emergency voice calls M M MBroadcast voice calls M M MGroup voice calls M M MMulti-party voice calls M O OTable 4-1: Voice telephony services to be supported"
SubSec 4.2.2,4.2.2,"The following data applications, identified in section 2, are to be supported for eachtype of mobile radio:Cab radio General purposeradioOperationalradioText message service M M MGeneral data applications M O OAutomatic fax O O OTrain control applications O O OTable 4-2: Data applications to be supported"
SubSec 4.2.3,4.2.3,The following call related services are to be supported for each type of mobile radio:Cab radio General purposeradioOperationalradioDisplay of calling user identity M M MDisplay of called user identity M M MRestriction of display of user identity O O OEIRENE closed user group M O MCall forwarding:- unconditional M O O- if user busy O O O- if no reply O O O- if not reachable O O OCall hold M O OCall waiting M M MDisplay of call charging information O O OCall barring M O MAuto answer service M O MCall supervisory information M O OTable 4-3: Call related features to be supported
SubSec 4.2.4,4.2.4,The following EIRENE features are to be supported for each type of mobile radio:Cab radio General purposeradioOperationalradioFunctional addressing (section 11) M M MLocation dependent addressing(section 11)M O ODirect mode (section 15) O N/A OShunting mode (section 14) M N/A OMultiple driver communications within thesame train (section 5)M N/A N/ARailway emergency calls(section 13)M O MTable 4-4: EIRENE specific features to be supported
SubSec 4.3,4.3,Environmental and physical requirements
SubSec 4.3.1,4.3.1,"This sub-section defines the core environmental and physical requirements for allEIRENE mobile equipment. The requirements provided in this section are augmentedby those provided in later sections for each individual radio type, with each radio typebeing specified by the superset of the core plus specific requirements. (I)"
SubSec 4.3.10,4.3.10,EIRENE mobiles will generate electromagnetic emissions. It is the responsibility ofnational railways operating EIRENE networks to ensure that EIRENE equipment doesnot interfere with the normal operation of any on-train or ground-based systems. (I)
SubSec 4.3.11,4.3.11,"In particular, EIRENE equipment could interfere with: (I)- signalling relays and contacts;- power transformers;- track circuits;- axle counters;- train describers;- other radio equipment;- radar speed measurement equipment;- switched mode power supplies;- telecommunications circuits;- electronic locking systems."
SubSec 4.3.2,4.3.2,"The categories of requirements defined for each type of mobile equipment are asfollows: (I)- climatic conditions (temperature, humidity, solar radiation, altitude, etc);- physical conditions (flammability, contamination, physical protection, etc);- mechanical conditions (shock and vibration);- electrical conditions (power supply variation, battery life, overloading, etc);- EMC (both emissions and immunity)."
SubSec 4.3.3,4.3.3,"In normal operation of a mobile radio unit, it is expected that a combination of theabove environmental conditions will be experienced. (I)"
SubSec 4.3.4,4.3.4,"Any environmental and physical requirements stated may be superseded by nationalrequirements if the national standards provide a higher level of environmental andphysical protection. However, stricter national standards shall not prevent the use ofother EIRENE mobiles in that country. (M)"
SubSec 4.3.5,4.3.5,"All design, testing and installation of EIRENE mobile radio equipment shall complywith the quality procedures defined in ISO 90014. (M)Climatic conditions"
SubSec 4.3.6,4.3.6,"Any pressure pulses caused by vehicles passing, entering or leaving tunnels shall notaffect the normal operation of EIRENE mobile equipment. (M)Physical conditions"
SubSec 4.3.7,4.3.7,"The design of EIRENE mobiles shall comply with the relevant European Norms forprotection against physical hazards, eg: (M)- pollution;- chemical contaminants (eg diesel);- flammable substances;- biologically active substances;- dust, sand and heavy particles;- mould growth.Mechanical conditions"
SubSec 4.3.8,4.3.8,All EIRENE mobile equipment shall be capable of being operated on board rollingstock. (M)Electrical
SubSec 4.3.9,4.3.9,The batteries to be used in the mobile equipment shall have sufficient capacity tosupport typical railway use. (M)Electromagnetic Compatibility
SubSec 5.,5.,Cab radio;
SubSec 5.1,5.1,Introduction
SubSec 5.1.1,5.1.1,"This section identifies the functional requirements for the EIRENE Cab radio. It coversthe functionality provided by the Cab radio, driver MMI and support to other on-trainsystems. (I)"
SubSec 5.1.2,5.1.2,"Moreover, a driver may be provided with a handheld portable to allowcommunications whilst the driver is outside the train. (O)"
SubSec 5.10,5.10,Other interfaces
SubSec 5.10.1,5.10.1,Other interfaces may be provided in the Cab radio system. (O)PAGE LEFT INTENTIONALLY BLANK
SubSec 5.2,5.2,Functional requirements
SubSec 5.2.1,5.2.1,Summary
SubSec 5.2.1.1,5.2.1.1,"In this subsection, the functions to be provided by the Cab radio are described. (I)"
SubSec 5.2.1.2,5.2.1.2,The following functions will be provided:Driver call-related functions:- call controller: (M)- primary controller;- secondary controller;- power supply controller;- call other drivers in the area; (M)- send Railway emergency call; (M)- confirm receipt of Railway emergency call; (M)- communicate with other drivers on same train; (M)- call train staff; (M)- call other authorised users; (M)- receive incoming voice calls; (M)- terminate calls; (M)- receive text messages; (M)- enter/leave shunting mode; (M)- enter/leave direct mode; (O)- monitor calls to other on-train users/devices; (M)- forward calls/cancel call forwarding to/from driver handheld; (O)Other driver-related functions:- powering up radio; (M)- switch radio MMI on and off; (M)- select language; (M)- adjust loudspeaker volume; (M)- select mobile radio network; (M)- register and deregister train number; (M)- register and deregister on-train users; (O)- register and deregister stock number; (M)
SubSec 5.2.2,5.2.2,Driver call related functions
SubSec 5.2.2.1,5.2.2.1,It shall be possible for the driver to initiate a call to any of the following types ofcontroller with a minimum of driver action being required (eg a single keystroke): (M)- primary controller;- secondary controller;- power supply controller.
SubSec 5.2.2.10,5.2.2.10,A driver shall be able to initiate the establishment of a call to other drivers with aminimum of action (eg a single keystroke). (M)
SubSec 5.2.2.11,5.2.2.11,The group identity shall be displayed on the Cab radios of the participating drivers.(M)
SubSec 5.2.2.12,5.2.2.12,An audible and visual indication shall be provided to the driver that the call isproceeding. (M)
SubSec 5.2.2.13,5.2.2.13,"Once connected, the driver shall be able to communicate with other driver(s) by usingthe Push-To-Talk button on the handset. An indication shall be provided to the driveras a reminder of the need to use the Push-To-Talk button on the handset if he wants totalk. (M)"
SubSec 5.2.2.14,5.2.2.14,The call shall be connected to the loudspeaker until the driver picks up the handset.(M)
SubSec 5.2.2.15,5.2.2.15,"The call shall continue until terminated by the calling driver, an authorised controlleror the network. (M)"
SubSec 5.2.2.16,5.2.2.16,"If the train moves out of the group call area whilst the call is in progress, an audibleand visual indication of the loss of call shall be provided to the driver. (M)"
SubSec 5.2.2.17,5.2.2.17,"If the system is not able to connect the call, an audible and visual indication shall beprovided to the driver. (M)Send Railway emergency call"
SubSec 5.2.2.18,5.2.2.18,It shall be possible for a driver to initiate Railway emergency calls (see section 13). (M)
SubSec 5.2.2.19,5.2.2.19,"If a train-borne recorder is connected to the Cab radio, details of the activation,termination and any failures of the emergency function shall be sent to the train-bornerecorder as each event occurs. (M)"
SubSec 5.2.2.2,5.2.2.2,"If the radio system cannot give a unique identity for a given type of controller, theidentity could be obtained using external systems as defined in 11.4.7. (I)"
SubSec 5.2.2.20,5.2.2.20,"A continuous visual and short audible indication (from 0 to 20 seconds, for trials: 5seconds) that the emergency function has been activated shall be provided in the cab.(Note that when the handset is off-hook, the audible indication shall be sounded fromthe loudspeaker at a low volume, but shall not be sounded from the handset.) (M)"
SubSec 5.2.2.21,5.2.2.21,"Once the Railway emergency call is connected and the audible indication is finished,an indication shall be provided to the driver as a reminder of the need to use the Push-To-Talk button on the handset if he wants to speak. (M)"
SubSec 5.2.2.22,5.2.2.22,The call shall be connected to the loudspeaker until the driver picks up the handset.(M)
SubSec 5.2.2.23,5.2.2.23,"If the train moves out of the call area whilst the call is in progress, it will leave the calland an audible and visual indication of the loss of call shall be provided to the driver.(M)"
SubSec 5.2.2.24,5.2.2.24,"Once the call is terminated, the continuous visual alarm indication in the cab shallcease. (M)"
SubSec 5.2.2.25,5.2.2.25,"If the system is not able to connect the call, an audible and visual indication shall beprovided to the driver. (M)Communicate with other drivers on same train"
SubSec 5.2.2.26,5.2.2.26,"Many trains employ multiple active traction vehicles. Where these vehicles are notconnected by on-train wire connections, it shall be possible for the lead driver toestablish a permanent radio connection between each of the active cabs. (M)"
SubSec 5.2.2.27,5.2.2.27,The call will be established from the active cab of the lead traction vehicle. (I)
SubSec 5.2.2.28,5.2.2.28,"Whilst on-going, a ‘multi-drivers’ indication shall be displayed permanently at all Cabradios. (M)"
SubSec 5.2.2.29,5.2.2.29,"The lead driver shall be notified if a member of the group has placed the call on hold,although this shall not affect communications between the remaining members of thegroup. (M)"
SubSec 5.2.2.3,5.2.2.3,"Once an appropriate destination has been obtained, the radio shall attempt to establisha call to this destination. The functional identity shall be displayed to the controller.(M)"
SubSec 5.2.2.30,5.2.2.30,"At any time during the call, the lead driver shall be able to remove a member of thegroup. (M)"
SubSec 5.2.2.31,5.2.2.31,The lead driver shall be able to terminate the entire call. (M)
SubSec 5.2.2.32,5.2.2.32,"If a driver is disconnected from the multi-driver call, a clear indication shall be given.(M)"
SubSec 5.2.2.33,5.2.2.33,The setting up and closing down of a multi-driver call shall be simplified usingautomation or guidance through the steps required. (M)
SubSec 5.2.2.34,5.2.2.34,"In each cab, the call shall be connected to the loudspeaker whilst the handset is onhook.(M)"
SubSec 5.2.2.35,5.2.2.35,"If any part of the call fails, an audible and visual indication shall be provided in theappropriate cab. (M)"
SubSec 5.2.2.36,5.2.2.36,"If the call fails in the lead traction vehicle, the lead driver will be responsible for reestablishingthe call. If the call fails to any other cab, the driver in that cab will call thelead cab and request re-establishment of the call. (I)"
SubSec 5.2.2.37,5.2.2.37,"For calls between a controller and the lead cab, it shall be possible to add the controllerto the multi-driver call. Either the lead driver calls the controller or the controller callsthe lead driver. In the latter case, the controller is automatically added into the multidrivercall. Functional identity of the controller shall be displayed in the leading cab.(M)Call train staff"
SubSec 5.2.2.38,5.2.2.38,It shall be possible for the driver to contact members of on-board train staff using apoint-to-point voice call. (M)
SubSec 5.2.2.39,5.2.2.39,"Upon activation of this function, the Cab radio shall provide the driver with a list of‘generic’ staff, eg: (M)- chief conductor;- conductor 1;- conductor 2;- catering staff 1."
SubSec 5.2.2.3i,5.2.2.3i,"The functional identity includes the following:- the train number, if available; (M)- the engine number, if no train number is available; (M)- the coach number of the leading cab, if neither a train number nor an enginenumber is available. (O)"
SubSec 5.2.2.4,5.2.2.4,An audible and visual indication shall be provided to the driver that the call isproceeding. (M)
SubSec 5.2.2.40,5.2.2.40,The driver shall then be prompted to select the train staff with which he wishes tocommunicate. (M)
SubSec 5.2.2.41,5.2.2.41,"On many trains, staff may be connected by intercom or internal telephone rather thanby radio. It is required that, in these cases, the Cab radio shall be integrated withinternal communication systems such that the appropriate means of connection (wireor radio) will be determined automatically. (M)Call other authorised users"
SubSec 5.2.2.42,5.2.2.42,"The Cab radio shall be capable of being used as a standard telephone, such that thedriver is able to call any valid number subject to pre-defined call restrictions. The callmay be initiated by: (M)- selection from a pre-defined list (up to 99 entries);- direct dialling a subscriber number;- calling a functional number.Receive incoming point-to-point voice call"
SubSec 5.2.2.43,5.2.2.43,An audible and visual indication of an incoming call shall be provided. (M)
SubSec 5.2.2.44,5.2.2.44,"The functional identity (which may contain an alphanumeric description) of the callingparty, when available, shall be displayed. (M)"
SubSec 5.2.2.45,5.2.2.45,Point-to-point calls that are not automatically answered (see table 10-1) shall only beanswered once the driver accepts the call. (M)
SubSec 5.2.2.46,5.2.2.46,"Once the driver has accepted the standard point-to-point call, it shall be connectedappropriately, eg if the driver has accepted the call by lifting the handset, then the callshall be routed to the handset. (M)Receive incoming group or broadcast voice call"
SubSec 5.2.2.47,5.2.2.47,An audible and visual indication of the incoming call shall be provided when a Cabradio receives a group or broadcast call. (M)
SubSec 5.2.2.48,5.2.2.48,The group identity of the voice group call (VBS or VGCS) shall be displayed. (M)
SubSec 5.2.2.49,5.2.2.49,"Group or broadcast calls shall automatically be connected to the loudspeaker if thehandset is not in use, or to the handset if the handset is off hook. (M)"
SubSec 5.2.2.5,5.2.2.5,"When the call is connected to the controller, an audible and visual indication is to beprovided to the driver. The call shall be connected to the loudspeaker at the pre-setvalue. (M)"
SubSec 5.2.2.50,5.2.2.50,The driver shall be informed if a broadcast call is ongoing by a visual indicationdisplayed on the MMI. (M)
SubSec 5.2.2.50i,5.2.2.50i,It is not possible for the driver to speak as part of the call when receiving a broadcastcall. (I)
SubSec 5.2.2.51,5.2.2.51,"If the call is a group call, the driver shall be required to request permission beforebeing able to speak as part of the call by lifting the handset and pushing the Push-To-Talk (PTT) button. (M)"
SubSec 5.2.2.52,5.2.2.52,"During a group call, a visual indication shall be displayed on the driver’s MMI toremind the driver of the need to use the PTT button. (M)"
SubSec 5.2.2.53,5.2.2.53,The driver can not speak in a group call until permission is granted by the networkafter pushing the PTT button. (I)
SubSec 5.2.2.54,5.2.2.54,"In a group call, an audible and visual indication of whether the request to talk wassuccessful shall be provided. The driver shall then be able to speak as part of the callwhilst the PTT button is pressed. (M)"
SubSec 5.2.2.55,5.2.2.55,"If the train moves out of the group or broadcast call area whilst the call is in progress,an audible and visual indication of the loss of call shall be provided to the driver. (M)Receive incoming Railway emergency call"
SubSec 5.2.2.56,5.2.2.56,"Reception of this call proceeds as for a standard group or broadcast call, except that adistinctive audible and visual indication shall be provided in the cab. (M)"
SubSec 5.2.2.57,5.2.2.57,"If a train-borne recorder is connected to the Cab radio, details of an incoming Railwayemergency call shall be transmitted to the train-borne recorder for recording, seesection 5.8. (M)Confirm receipt of Railway emergency call"
SubSec 5.2.2.58,5.2.2.58,An automatic confirmation shall be generated by the Cab radio at the end of theRailway emergency call as detailed in section 13. (M)
SubSec 5.2.2.59,5.2.2.59,Automatic confirmation of receipt of Railway emergency calls will be used to provide ameans of determining which trains have received a Railway emergency call (seesection 13). (I)Terminate calls
SubSec 5.2.2.6,5.2.2.6,"The functional identity of the connected party, if available, shall be displayed to thedriver. (M)"
SubSec 5.2.2.60,5.2.2.60,The Cab radio shall provide a means for the driver to terminate calls which he isauthorised to terminate (ie all calls except Railway emergency calls not initiated by thedriver and shunting group calls). (M)
SubSec 5.2.2.61,5.2.2.61,"For group or broadcast calls, a means to leave the call without terminating the call shallbe provided. (M)Receive text messages"
SubSec 5.2.2.62,5.2.2.62,The Cab radio system shall be able to receive incoming text messages (see section 12for details). (M)Enter/leave shunting mode
SubSec 5.2.2.63,5.2.2.63,The Cab radio shall support a ‘shunting mode’ of operation that provides a linkassurance tone to reassure users of the integrity of the communication link (seesection 14). (M)
SubSec 5.2.2.64,5.2.2.64,A means to enter and leave shunting mode shall be provided. (M)
SubSec 5.2.2.65,5.2.2.65,The functionality to enter and leave shunting mode shall not be available when thereare on-going calls involving the Cab radio. (M)
SubSec 5.2.2.66,5.2.2.66,The link assurance tone shall be provided via the loudspeaker. (M)
SubSec 5.2.2.67,5.2.2.67,"If the Cab radio is equipped with an additional security device, this audible indicationmay be muted for the driver’s convenience. In this case, the security device alerts thedriver if the link has failed or if it is cancelled. (I)Enter/leave direct mode"
SubSec 5.2.2.68,5.2.2.68,"It should be possible for the Cab radio to be used without the network service (if itshould fail or if there is no authorised network coverage), such that local open channelcommunications are still possible. This mode of operation is termed ‘direct mode’ (seesection 15). (O)"
SubSec 5.2.2.69,5.2.2.69,"If direct mode is implemented, a means to enter and leave direct mode shall beprovided. (M)"
SubSec 5.2.2.7,5.2.2.7,"If the functional identity of the connected party contains an alphanumeric description,this shall also be displayed. (M)"
SubSec 5.2.2.70,5.2.2.70,"If the radio is in direct mode and the normal network service returns, the user shall beprovided with an audible and visual indication. (M)Monitor calls to other on-train users/devices using the Cab radio"
SubSec 5.2.2.71,5.2.2.71,"Not all communications using the Cab radio will involve the driver. Where these callsinvolve the Cab radio, the driver shall be provided with an indication that the Cabradio is busy. (M)"
SubSec 5.2.2.72,5.2.2.72,"For voice calls using the Cab radio not involving the driver as a called or calling party,the driver shall have the possibility to listen to the audio output of the communication.(M)"
SubSec 5.2.2.73,5.2.2.73,"For voice communications, if the driver picks up the handset, the radio shall allow himto join the communication. (M)"
SubSec 5.2.2.74,5.2.2.74,The driver shall be able to terminate communications (voice or data) by selectinganother call. (M)
SubSec 5.2.2.75,5.2.2.75,"Where the Cab radio is required by a national railway to support a handheld portable,the Cab radio shall: (M)- provide a clear indication as to whether the handheld portable is activated or not;- provide an interface to allow the handheld portable to be recharged when not inuse;- forward calls automatically to the handheld portable when the handheld portableis activated;- cancel any call forwarding to the handheld portable when it is deactivated;- allow the driver to override the call forwarding to the handheld portable."
