,req,reqId,reqPriority,reqSeverity,reqType
13214,Open window in maximized state triggers extra reflow in window open path,1448199,--,normal,enhancement
13215,Implement rest of load_trigger_type telemetry for newtab,1448356,P3,normal,enhancement
13218,Merge the tagging API into the bookmarks API,1448885,P2,normal,enhancement
13225,Remove nsNavBookmarks::GetBookmarkURI,1448916,P3,normal,enhancement
13228,Add DNS TXT resolution to dns.resolve WebExtensions API,1449171,P5,normal,enhancement
13232,Consider having runnable not inherit from nsISupports,1449290,--,normal,enhancement
13233,Investigate why emulated css flexbox is so much slower than xul flexbox on TART,1449346,P3,normal,enhancement
13235,Improve visibility of screenshot options,1449537,P3,normal,enhancement
13236,Remove GetFolderIdForItem,1449581,P3,normal,enhancement
13238,[meta] Investigate reducing minimum GC memory,1449600,P3,normal,enhancement
13246,Investigate replacing our XMLHttpRequest implementation with a less complicated one. (Reimplment XHR in terms of fetch),1449613,P5,normal,enhancement
13250,Update webrender to 790b76f1547453615262c3037e1fb04bda22fbc8 (WR PR 3276),1504994,P3,normal,enhancement
13251,Warn users when user agent isn't default and offer to reset,566434,--,normal,enhancement
13252,[Input Events] Implement InputEvent.getTargetRanges(),1449831,P3,normal,enhancement
13253,Add a UTF-8 WebIDL string type,1449861,P3,normal,enhancement
13254,Please create a new collection in the security-state bucket in stage / production for cert revocations,1460664,--,normal,task
13256,Font editor: consolidate Redux actions and reducers for font overview,1449894,P3,normal,enhancement
13258,[META] Reminder / Pins,1449974,--,normal,enhancement
13260,[meta] Convert Perfherder to ReactJS,1450044,P1,normal,enhancement
13276,Add hyphenation resources for Polish,987668,--,normal,enhancement
13277,Separate out WebRender telemetry based on SVG usage.,1483549,P2,normal,enhancement
13278,SessionCookies.jsm's initialization takes a long time on the ui thread,1356605,P1,normal,enhancement
13279,implement correct horizontal bars for DS lists with non-balanced rows,1522875,P3,normal,enhancement
13280,Application panel: show UUID as tooltip,1450065,P3,normal,enhancement
13282,Application panel: add button to force Update,1450070,P2,normal,enhancement
13286,[meta] Reduce the pain from ghost windows,1450130,P3,normal,enhancement
13288,[meta] Convert protocol clients to fronts using protocol.js,1450150,P5,normal,enhancement
13300,Remove permissions along with site data,1469502,P3,normal,enhancement
13301,Windows: Evaluate only parsing fonts in the parent process,1470015,P3,normal,enhancement
13302,Reduce performance impact of ghost windows,1450430,P3,normal,enhancement
13304,CSP navigate-to tests unstable,1450635,P3,normal,enhancement
13306,Entire Browser Flashes Black during resizing with gfx.webrender.force-angle=false and NVIDIA Win,1450879,P3,normal,enhancement
13308,Convert RootActor to protocol.js,1450943,P2,normal,enhancement
13314,Convert AddonTargetActor to protocol.js,1450958,P2,normal,enhancement
13319,Don't add variables/function to the DebuggerServer object in devtools/server when it does not make sense,1450978,P3,normal,enhancement
13321,[meta] talos release criteria meta bug,1450997,P5,normal,enhancement
13330,Increase the threshold of low memory notifications on Windows,1451013,--,normal,enhancement
13332,"Setting ""XPCOM_MEM_BLOAT_LOG"" to a unicode profile dir prevents mozprocess from launching Firefox",1451062,P3,normal,enhancement
13335,[tracking] Support Shumway as a WebExtension,1451083,--,normal,enhancement
13341,[BinAST] Release a testing version of BinAST,1451344,P3,normal,enhancement
13353,[meta] Review isAnonymous flag behavior for shadowAnonymous elements,1476227,P3,normal,enhancement
13354,"[css-align] consider implementing the ""(no value specified)"" behavior for <overflow-position>",1451380,--,normal,enhancement
13356,Worker event listeners can leak owning window,1451381,P2,normal,enhancement
13357,port bug 1384727 to Thunderbird - Make QueryInterface use integer IDs,1469390,--,normal,enhancement
13358,Theming API UX,1451392,--,normal,enhancement
13361,Revisit blob image rounding / snapping,1451422,P3,normal,enhancement
13363,[META] Implement CSS Text Module Level 4,1451459,P3,normal,enhancement
13371,limit support for variation fonts to secure contexts,1451656,--,normal,enhancement
13373,Snap: Ship nightly on the edge channel,1451694,--,normal,enhancement
13374,[meta] Project Fission,1451850,P3,normal,enhancement
13504,[BinAST] Implement lazy parsing,1452009,P3,normal,enhancement
13506,Convert Address Books to sqlite databases,550247,--,normal,enhancement
13509,SeaMonkey comm-central malfunctions/errors,1452448,--,normal,enhancement
13528,Stand up android x86 test capacity in packet.net,1452652,--,normal,enhancement
13530,Sidewinder UI does not uniquely specify room name.,922352,--,normal,task
13531,Use devtools/shared/link everywhere where we open links in a tab,1452678,--,normal,enhancement
13534,require DETH objects to bind to a global,1452705,P3,normal,enhancement
13539,Cache native widget pixels for redraws,1452832,P3,normal,enhancement
13541,Put the main menu tracking protection toggle behind a pref,1472535,P1,normal,enhancement
13542,Snap partial updates: Delta service failed to apply delta successfully,1453026,--,normal,enhancement
13543,expose extra information via adb,1469057,P3,normal,enhancement
13544,Remove nsIMessageSender,1453215,P3,normal,enhancement
13546,Capture thumbnails with safe browsing always enabled,1453448,P3,normal,enhancement
13547,Build and l10n rollup for SeaMonkey,1451847,--,blocker,enhancement
13548,Enable test-verify jobs for QR,1453478,P3,normal,enhancement
13551,Add a QuotaManagerService::clearDefault method,1453587,P3,normal,enhancement
13553,Stop pulling loader's globals from another JSM scope and use Sandbox one instead,1453915,P3,normal,enhancement
13555,"Port Bug 1431050 ""remove NS_ASSERT / debug.js"" to SeaMonkey",1454023,P3,normal,enhancement
13558,[meta] Investigate progress bar behavior difference between GeckoView and WebView,1454477,P3,normal,enhancement
13560,support external yuv image in Webrender,1344098,--,normal,enhancement
13561,Update and run WebRTC mochitests,1454644,P2,normal,enhancement
13562,need 1-page way to file-and-attach-and-accept-and-review,315860,--,normal,enhancement
13564,1.43ms uninterruptible reflow at onxblunderflow@chrome://browser/content/tabbrowser.xml:47:11,1482654,P3,normal,enhancement
13565,Provide a shadow DOM-piercing querySelector and querySelectorAll for extensions,1475869,P3,normal,enhancement
13566,label-control_XBL_Constructor is visible on startup profiles,1374257,P1,normal,enhancement
13567,[meta] third-party manifest tracking (moz.yaml),1454867,--,normal,enhancement
13569,Process for generating Win10 installer vhd from install ISO,1463302,--,normal,task
13571,ReadableStream controller constructors should throw unconditionally,1506656,P1,normal,enhancement
13572,Update webrender to 04d63e7d73b9661d9eb934a0933c8f9751a9a3db,1490242,P3,normal,enhancement
13573,Reduce invalidation of video,1359993,--,normal,enhancement
13574,[RFE] Allow external HTTP protocol handler,180708,--,normal,enhancement
13575,fix package name for aarch64 windows,1494717,--,normal,enhancement
13576,Remove installer option not to install the maintenance service,1494751,--,normal,enhancement
13577,add --nolint switch to moz-phab,1497579,--,normal,enhancement
13578,Need a way to know when to unlock the Payment Request UI after dispatching a change event,1498310,P3,normal,enhancement
13579,Add ability to include standard address book from Gnome and KDE,450894,--,normal,enhancement
13580,Add the ability to mixin the base MozXULElement class functionality,1499476,--,normal,task
13581,Need to be able to turn off this undesired sound. :),59026,P5,normal,enhancement
13582,Support Unicode paths in certutil,1454938,P3,normal,enhancement
13583,[BinAST] Support BinAST in devtools,1454990,P5,normal,enhancement
13585,Remove the notion of streams from the MediaStreamGraph,1454998,P3,normal,enhancement
13586,Standards Website,213415,P3,normal,task
13587,Provide option to disable frames/force noframes,153218,--,normal,enhancement
13588,Don't resolve counter styles during styling.,1524328,P3,normal,enhancement
13589,"Get rid of `make upload`, have `make package` generate artifacts directly into artifact upload directory",1455105,--,normal,enhancement
13591,Consolidate logic for owner/relatedTab/relatedToCurrent/aOpenerBrowser for tabs,1455264,P2,normal,enhancement
13593,Debugger API is always accessed via cross compartment wrappers,1482090,--,normal,enhancement
13594,"Incorporate ""platforms"" into probe-scraper",1455319,P2,normal,enhancement
13595,Cache the requestedLocales and availableLocales in LocaleService,1345527,--,normal,enhancement
13596,Incorporate external histogram and scalar definition files into probe-scraper,1455320,P2,normal,enhancement
13599,Create ETL for mobile-metrics,1455321,P3,normal,enhancement
13603,CSP connect-src 'self' should always include https: and wss: schemes,1345615,P2,normal,enhancement
13604,Migrate auth to postgres,1455369,--,normal,enhancement
13606,"Add ingestion normalization for appName, os to all mobile pings",1455381,P2,normal,enhancement
13608,Integrate mobile-events ping into TMO,1455391,P4,normal,enhancement
13610,[meta] Standardize DevTools Panel initialization,1455421,P3,normal,enhancement
13619,"Editing/Mass-changing bugs should allow a ""discreetly"" option",23924,P2,normal,enhancement
13620,[BinAST] Generate bytecode without generating a ParseNode,1455547,P2,normal,enhancement
13631,Refactor BytecodeEmitter to let us emit bytecode without a ParseNode,1455548,P2,normal,enhancement
13647,[Meta] Add a comprehensive GraphQL API to Treeherder and use it to speed up the front-end,1345909,P3,normal,enhancement
13648,Enable dom.animations-api.core.enabled by default,1476158,--,normal,enhancement
13661,Have highlight card actions respect highlights options,1455684,P3,normal,enhancement
13663,Switch to C5/M5 AWS instances on Windows builders,1455706,--,normal,task
13667,"Remove setJSStatus from nsBrowserStatusHandler.js, help.js, mailWindow.js",1455712,--,normal,enhancement
13676,Implement a basic flex item sizing highlighter,1477614,P3,normal,enhancement
13677,Remove the XPCOM registration for nsCommandParams,1491588,P3,normal,enhancement
13678,Extend blocking autoplay related Telemetry,1523766,P2,normal,enhancement
13679,Investigate alternatives to disabling smooth scrolling in the tab bar during session restore,1456093,P5,normal,task
13681,Email list should have a 2 row option,413288,--,normal,enhancement
13682,[meta] [socket-process] WebRTC networking uses socket process,1456285,P3,normal,enhancement
13689,JSVM code coverage generates invalid FN records with function names containing commas,1373794,--,normal,enhancement
13690,Implement Request.isReloadNavigation,1456479,P2,major,enhancement
13693,Use compare-locales entities and cross-channel merge code in fluent.migrate,1456499,P2,normal,enhancement
13696,[META] Implement CSS Filter Effects Module Level 2,1456594,P3,normal,enhancement
13699,QA tracker for Preference Roll-out,1456785,--,normal,enhancement
13703,[meta] DevTools Event Telemetry Milestone 1,1456979,P2,normal,enhancement
13721,Tune texture cache eviction and implement dynamic shrinking,1507996,P2,normal,enhancement
13722,[meta] DevTools Event Telemetry Milestone 2,1456983,P2,normal,enhancement
13767,enable e10s service workers pref on nightly,1456995,P2,normal,enhancement
13769,Handle the hidden tabs doorhanger case where tabs are hidden in a different window,1457000,P2,normal,enhancement
13770,Wayland - don't use CurrentX11TimeGetter,1348310,P2,minor,enhancement
13771,Investigate if we can remove itemId (aka parentId) from PlacesInsertionPoint,1457131,P3,normal,enhancement
13774,"[css-text-decor-4] Let `text-decoration-skip-ink`, `text-decoration-thickness`, and `text-underline-offset` ride the trains to release",1573631,P3,normal,enhancement
13775,Support content handlers in WebExtensions,1457500,P5,normal,enhancement
13779,"Instrument inspection of ""Toggle Shape-outside/Clip-path Editor"" in the Inspector with event telemetry",1479704,P2,normal,enhancement
13780,Support local development/testing in glean,1505400,P3,normal,enhancement
13784,Add support also in Thunderbird to the new policy engine,1461330,--,normal,enhancement
13785,[META] Onboarding / First Run,1457565,P3,normal,enhancement
13815,[META] Web Extension,1457567,--,normal,enhancement
13820,[META] Build Process,1457572,--,normal,enhancement
13848,"Want ""risk"" field added to bugzilla.",263218,--,normal,enhancement
13849,Load localizable name and description for WebExtensions from fluent files,1457865,P3,normal,enhancement
13852,[Meta] Spark streaming job CI/CD story,1457938,P3,normal,enhancement
13858,Don't load shield-content-frame.js until needed,1479309,--,normal,enhancement
13861,Investigate sharing self-hosted compartment across content processes,1458339,P1,normal,enhancement
13869,[META] browser_style redux,1458678,P3,normal,enhancement
13874,[META] Better Highlights,1459288,--,normal,enhancement
13877,Generate buildhub.json for l10n repacks,1459302,--,normal,enhancement
13878,clean up hang monitor threads,1448040,--,normal,enhancement
13884,Allow changing the content area background/text colors,1459504,P3,normal,enhancement
13885,Record which fields of CSS animations / transitions have been overridden by script and ignore changes from style,1459536,P3,normal,enhancement
13896,Telemetry shouldn't query the add-ons DB at startup,1358907,P1,normal,enhancement
13897,[meta] make unit tests run in mozilla-central automation,1459773,P3,normal,enhancement
13903,mail filter plugins,169332,--,normal,enhancement
13905,[meta] DevTools application panel milestone 1.1,1459945,--,normal,enhancement
13922,Add link to force skip waiting for workers in waiting state,1459955,P2,normal,enhancement
13924,[meta] Implement a Data Access API for reading and writing data with Spark.,1460343,P3,normal,enhancement
13936,Add dummy json file for testing with AS Router experiment,1457191,P1,normal,enhancement
13937,[postgres] Document requirements of PUT /task/:taskId,1487714,--,normal,enhancement
13938,[postgres] Document requirements of POST /task/:taskId/schedule,1487715,--,normal,enhancement
13939,AVDG quote for SFO 1st floor Commons Open Items,966550,--,normal,task
13940,Remove compatiblity code to guard against miss of RootActor.getRoot,1492856,--,normal,enhancement
13941,Implement client side decorations - Support ARGB visuals,1364355,P3,normal,enhancement
13942,Browser chrome: increase margin of context menus when they are triggered with touch (as we do with context menus in content),1364896,P1,normal,enhancement
13943,WebRender allocates ~85MB of VRAM (and regular memory) per window for the texture cache,1495977,P2,normal,enhancement
13944,Run mochitests in TestRunnerActivity on packet.net,1460411,P1,normal,enhancement
13954,API to set the new tab page URL,1460412,P3,normal,enhancement
13955,Use DirectComposition for video on Window,1460499,P3,normal,enhancement
13957,Investigate an alternative way to chunk async statements results notifications,1393440,P2,normal,enhancement
13958,Port Bug 1460570 - Merge mozIAsyncFavicons into nsIFaviconService,1460575,--,normal,enhancement
13960,[meta] Remove support for bookmark annotations,1460577,P3,normal,enhancement
13972,Extend moz_favicons with lastModified column to support Sync,706347,--,normal,enhancement
13975,"Turn off remote XUL outside the IsInAutomation() and the ""dom.allow_XUL_XBL_for_file"" case",1460732,P5,normal,enhancement
13978,[META] improve support for Private Browsing,1460738,--,normal,enhancement
13986,Implement a relaxed third-party cookie blocking mode,1460755,P3,normal,enhancement
13990,Update webrender to 93997662842b6d8bafbdb3dde79009c930db66ca,1485691,P3,normal,enhancement
13992,Document how Providers are to be implemented,1487700,--,normal,enhancement
13993,Web Authentication - Enable Cross-Origin iframes via Feature-Policy,1460986,P3,normal,enhancement
13996,[meta] Cross-platform dependencies for pinch-zooming on desktop,1461360,P3,normal,enhancement
14000,[META] Implement CSS Conditional Module Level 3,1353219,--,normal,enhancement
14001,Make layout/reftests/async-scrolling/fixed-pos-scrolled-clip-1.html pass on linux64-qr with APZ enabled,1373802,P1,normal,enhancement
14002,Remove nsIDOMDocumentFragment,1452183,P2,normal,enhancement
14005,Protocol.js: further specify type for webconsole.evaluateJS,1461715,P2,normal,enhancement
14006,Add foreign key constraints for attach_data table,423372,--,normal,enhancement
14007,[meta] Privacy UI Improvements,1461743,P2,normal,enhancement
14068,Implement new session restore animation,1352068,P4,normal,enhancement
14069,Build and l10n rollup for SeaMonkey take 2,1461767,--,normal,enhancement
14071,Clang toolchain tasks connect to llvm.org,1461807,--,normal,task
14072,Implement some subset of SVG filters for WebRender,1485512,P2,normal,enhancement
14074,Analyze bookmarks mirror event telemetry,1462072,P2,normal,enhancement
14075,Support block/cap by provider,1476688,P1,normal,enhancement
14077,Shield: search with awesomebar onboarding study,1462136,P3,normal,enhancement
14085,Change object file linking in NSS to be consistent about dllimport,1462143,P5,normal,enhancement
14087,[meta] Integrate anti-tracking with developer tools,1462372,P3,normal,enhancement
14093,Show if a link wants to open a new window,191857,--,normal,enhancement
14119,[tracking] Tab discarding,1462813,P3,normal,enhancement
14135,Use Bugzilla::Object's remove_from_db when deleting any object,679516,--,normal,task
14137,[meta] L10nRegistry v2,1462839,P3,normal,enhancement
14147,Remove mozIDOMWindow/mozIDOMWindowProxy,1463015,P2,normal,enhancement
14149,Instrument inspection of pausing behaviour in the Debugger with event telemetry,1463117,P2,normal,enhancement
14151,Instrument inspection of pausing in the Debugger with event telemetry,1463118,P2,normal,enhancement
14155,"Instrument inspection of ""Add Breakpoint"" in the Debugger with event telemetry",1463123,P2,normal,enhancement
14157,"Instrument inspection of ""Remove Breakpoint"" in the Debugger with event telemetry",1463124,P2,normal,enhancement
14161,"Instrument inspection of ""Blackboxing"" of scripts in the Debugger with event telemetry",1463126,P2,normal,enhancement
14163,[meta] Android Beta P issues,1463164,--,normal,enhancement
14166,[postgres] Implement postgres queries for PUT /task/:taskId,1487744,--,normal,enhancement
14167,[meta] MinGW Build Improvements,1463261,P5,normal,enhancement
14174,[meta] bugs found while fuzzing with libFuzzer IPC fuzzer,1463434,--,normal,enhancement
14179,Remove messageWakeupService,1369345,P1,normal,enhancement
14181,Add instrumentation to collect elements with XBL bindings,1442826,--,normal,task
14182,"Implement CSS ""contain: size""",1463594,P3,normal,enhancement
14196,Implement CSS 'contain: style',1463600,P3,normal,enhancement
14199,Instruction caches aren't flushed on arm64 Windows,1501269,P1,normal,enhancement
14202,[meta] Support OS-level secret-keeping,1463865,P3,normal,enhancement
14214,[meta] hard-require nodejs in build system,1464123,P1,normal,enhancement
14220,Implement the rest of simple_snippet template variables in AS Router,1464126,P1,normal,enhancement
14222,Convert a bunch of toolkit SVG icons to use context-fill,1359631,--,normal,enhancement
14223,[meta] WebRender content process performance,1485431,P1,normal,enhancement
14224,wasm: Implement the pre-barrier as a builtin thunk,1464157,P3,normal,enhancement
14225,Allow browser console to receive messages from top level documents,1575234,P1,normal,enhancement
14226,Switch to using git-cinnabar and the official hg.mozilla.org servers,1464297,--,normal,task
14232,Switch AV1 implementation to dav1d,1493397,P2,normal,enhancement
14233,Get plain text messages in extensions,953499,--,normal,enhancement
14234,Enable client/debugger/test/mochitest/browser_dbg_search-global-03.js in e10s,1478242,P3,normal,task
14235,[meta] Metabug for things that webrender fixes,1464426,P3,normal,enhancement
14237,"Collect Coverage Metadata, put into Elasticsearch",1344035,--,normal,enhancement
14239,[meta] SDP parser oxidation,1469735,P3,normal,enhancement
14240,[meta] subgrid support in grid inspector,1464440,P2,normal,enhancement
14246,Add off-main thread IO Marker support to Gecko profiles,1464506,P2,normal,enhancement
14247,Update webrender to f24d6fbc8598dbaffee70b745e043dd390664f72 (WR PR #3491),1518773,P3,normal,enhancement
14249,Stop relying on the observer service to dispatch per-window themes,1464716,P3,normal,enhancement
14251,Allow sending null to LWTConsumer.jsm to reset the theme,1464717,P3,normal,enhancement
14253,Remove the XPCOM component registration for nsUnknownDecoder,1488306,P2,normal,enhancement
14254,Implement inter-process communication (IPC) in Mozilla (protozilla),68702,P2,normal,enhancement
14255,[meta] potential data types to sync,530399,--,normal,enhancement
14256,Update webrender to dd30fbb21c876b252b805b607bd04f3bab1fd228,1467096,P3,normal,enhancement
14257,Try to avoid loading AboutPocket.jsm in the content process at startup,1355533,--,normal,enhancement
14258,Move about: pages into its own content process,1470201,--,normal,enhancement
14259,Make x and y dimensions default to -x- instead of undefinedxundefined,1379109,--,normal,enhancement
14260,Show a badge (in the position of a page action) when a website is installable as a PWA,1379115,P1,normal,enhancement
14262,Implement OS key-store adapter,1464828,P1,normal,enhancement
14263,Move WrProgramBinaryDiskCache::try_load_from_disk() task to scene builder thread,1464958,P5,normal,enhancement
14265,"Marionette has to report startup crashes instead of failing with ""Failure during harness execution""",1464989,P3,normal,enhancement
14267,tracking bug for new balrog ui,1465206,P1,normal,enhancement
14268,Allow frames to be prerendered as long as the area of the frame is less than the limit,1364221,P1,normal,enhancement
14269,[meta] Implement the Fetch Standard,1465462,P3,normal,enhancement
14282,Create a Linux-Based CFI Build,1465549,--,normal,enhancement
14287,Evaluate/consider using shm_open instead of our current shared memory on Mac,1465669,P3,normal,enhancement
14288,Add helper classes to emit bytecode for lexical scope,1501578,P3,normal,enhancement
14289,[meta] Create a mingw-clang Build Job,1465790,P5,normal,enhancement
14325,Disable profile-instr-out-of-date warnings explicitly rather than allowing all warnings where they appear,1481719,--,normal,enhancement
14326,"Remove (replace?) MOZ_DEV_EDITION check, in the MOZ_DIAGNOSTIC_ASSERT definition",1465872,P3,normal,enhancement
14328,"Remove the compile-time ""MOZ_DEV_EDITION"" check in mozJSComponentLoader.h for STARTUP_RECORDER_ENABLED",1465878,P2,normal,enhancement
14330,Use nsIClearDataService in Sanitizer.jsm for android,1466130,P2,normal,enhancement
14332,[META] context menu updates,1466876,P3,normal,enhancement
14340,Add event telemetry to application panel,1467091,--,normal,enhancement
14342,Clean up bookmark annotation data once annotations have been removed,1467131,P3,normal,enhancement
14344,Ability to add generic targets to |mach watch|,1467147,--,normal,enhancement
14345,Allow running find-dupes without all of MOZ_AUTOMATION,1507610,--,normal,enhancement
14346,Enable OMTP on Android,1467151,P3,normal,task
14350,Replace uses of nsIDocShellTreeItem with BrowsingContext,1467214,P3,normal,enhancement
14377,Access permissions without creating MediaManager,1493027,P2,normal,enhancement
14378,[meta] Fission Session History Work,1467221,P3,normal,enhancement
14405,add delta_ts column to profiles (provide a last modified timestamp for users),600118,--,normal,enhancement
14407,Schedule Mac coverage build weekly,1467304,--,normal,enhancement
14408,Stop touching `content` in browser/base/content/content.js,1471327,P2,normal,enhancement
14409,Split prologue into 2 sections (DEFVAR etc vs others) and compose them later,1467384,P3,normal,enhancement
14412,[tracking] build system work to include a MSI installer,1476983,--,normal,enhancement
14413,"cross-origin stylesheet load without ""crossorigin"" attribute treats service worker synthesized CORS response as opaque",1467454,P2,normal,enhancement
14415,Convert Kuma to Python 3,1467518,P3,normal,enhancement
14419,Make it possible to add cookies to the storage inspector,1231452,P2,normal,enhancement
14425,WindowServer connection never being terminated,1467758,P2,normal,enhancement
14427,[ESLint] Fix DevTools eslint overrides,1467767,--,normal,enhancement
14439,Reduce overhead/latency of applying async images,1467768,P2,normal,enhancement
14442,tabbed message display in Thunderbird,297379,--,normal,enhancement
14443,OSX nodes stop functioning,1467949,--,normal,task
14446,Use the --enable-hardening configure flag for Linux builds,1503589,--,normal,enhancement
14447,create Advanced -> Display preference tab; move all relevant preferences to it,456872,--,normal,enhancement
14448,Kashyyyk Conference room not able to dial out using Audio Conferencing.,986576,--,normal,task
14449,[Wayland] Customize -> TitleBar switch crashes browser,1512415,--,normal,enhancement
14450,Build Menu API to build and show context menus from HTML tools in the toolbox,1257613,P1,normal,enhancement
14451,Auto-generate an nsCSSPropertyID array for properties that can run on the compositor and use it in applicable places,1479173,P3,normal,enhancement
14459,[meta] Firefox Updater tracker for AUS Security Audit,1468531,P3,normal,enhancement
14460,[META] Return to AMO,1468680,--,normal,enhancement
14476,[meta] Add GeckoView support for WebExtensions,1468844,P3,normal,enhancement
14481,Change presentation of show_bug.cgi urls to be /bug/ID or /bug/ALIAS.,1468848,--,normal,enhancement
14484,[meta] Rich menus in DevTools (doorhanger menus),1468999,--,normal,enhancement
14499,Implement browsingData.remove WebExtension API method on android,1363014,P5,normal,enhancement
14500,Delete localizations with less than 10 page views per day,1469079,P2,normal,enhancement
14502,[meta] Connect to wifi devices from about:debugging,1469089,P3,normal,enhancement
14504,Include update and other 'notification' UI on hamburger panel in new Photon hamburger panel,1355020,P1,normal,enhancement
14505,Context menu option to open link/image using an external application,297643,--,normal,enhancement
14506,Implement connected toolbox,1469093,P3,normal,enhancement
14508,Support new generic font-family names from CSS Fonts 4,1461302,P3,normal,enhancement
14509,Add telemetry to record possible causes of discovery/connection failure (USB),1469094,P3,normal,enhancement
14512,Remove support code for ispdata,1467238,--,minor,enhancement
14517,Improve XPCOM's pointer hashing functions for pointers to neighboring memory locations,1379282,--,normal,enhancement
14518,[meta] Refactor nsDocShell for fission,1469429,P2,normal,enhancement
14552,Remove nsIDOMDragEvent,1445417,--,normal,enhancement
14553,Move fxc2 back to mozilla repo,1502589,P5,normal,enhancement
14556,refactor sidebar to remove webext-panel.xul,1469843,P3,normal,enhancement
14558,Ban GetterOp/SetterOp from PropertyDescriptor,1470081,P2,normal,enhancement
14560,Preference sheet doesn't apply to SVG resource documents.,1470148,P3,normal,enhancement
14561,Track web page event/task costs in terms of cpu time,710927,P5,normal,enhancement
14562,Generalize built_in_addons.json creation,1470240,--,normal,enhancement
14563,Reduce the overhead of telemetry in content processes,1470339,P3,normal,enhancement
14565,META Let Stylo ride the trains,1374034,P5,normal,enhancement
14566,Implement PIN based WiFi authentication,1470352,P3,normal,enhancement
14568,UrlbarInput focused getter is broken,1496152,P1,normal,enhancement
14569,Don't collect the nursery for every sweeping GCSlice,1470369,P1,normal,enhancement
14572,[meta] Add more basic perfherder selenium tests,1470473,P3,normal,enhancement
14574,Feature request: Backup Password Manager and Form Manager data to a seperate file.,284259,--,normal,enhancement
14575,Add a fork server for launching content processes,1470591,P2,normal,enhancement
14577,Use DrawTargetCapture instead of DrawTargetRecording,1372739,--,normal,enhancement
14578,[META] Implement CSS Overflow Module Level 3,1470694,P3,normal,enhancement
14583,[META] Implement CSS Overflow Module Level 4,1470696,P3,normal,enhancement
14585,"[meta] Remove ""firefox-dev@"" from alert_emails fields.",1470885,P3,normal,enhancement
14592,Process LookAndFeel data in the parent process,1470983,--,normal,enhancement
14604,Require human sign-off of releases,1471202,--,normal,enhancement
14606,Remove new Function from places tree.xml,1498564,P3,normal,enhancement
14607,iframe.contentWindow.getComputedStyle(..) returns an empty style if the iframe is display: none.,1471231,P3,normal,enhancement
14610,Implement frame construction for grid items,1000376,--,normal,enhancement
14611,Remove LightweightThemeManager,1471300,P3,normal,enhancement
14615,Form Autofill preferences should support search function,1367322,--,normal,enhancement
14617,[META] CFR Add-ons,1471328,--,normal,enhancement
14668,[RFE] Use multiple dictonarys at the same time,303079,--,normal,enhancement
14669,Reset coverage counters before every test and dump them before shutdown in per-test coverage mode,1471572,--,normal,enhancement
14674,Remove custom styling for cert error pages with browser.xul.error_pages.expert_bad_cert,1499326,P3,normal,enhancement
14675,Message headers don't scroll with the message,464309,--,normal,enhancement
14676,Notify unread requests and mark them in the Requests dropdown,1471593,--,normal,enhancement
14680,Remove local dependency on Arcanist from new Phabricator command-line app,1471687,P2,normal,enhancement
14685,Disable render_on_scroll in webrender,1384403,--,normal,enhancement
14687,Enable tiling on Linux for P-OMTP,1471704,P3,normal,enhancement
14689,Ignore ASan shutdown hangs until we can eliminate them,1471724,--,normal,enhancement
14690,[META] implement CSS Grid Layout Module Level 1,1312610,P3,normal,enhancement
14691,Add core Resource actor infrastructure and process access for Fission,1471754,P2,normal,enhancement
14694,Track spec issue for error reporting of custom elements,1378265,P3,normal,enhancement
14695,Update webrender to ea8f4a922b2aa38c40de137d7f0ab6598d53e29a (WR PR #3353),1510222,P3,normal,enhancement
14696,Long pauses on reloading a page that was using large amounts of memory,1495734,P3,normal,enhancement
14697,add support for restricting CSS properties to secure contexts,1471807,P3,normal,enhancement
14698,Replace sql_repair method with manual partition detection in MozData,1469020,P2,normal,enhancement
14699,Standardize Inspector Panel initialization,1471853,P3,normal,enhancement
14705,ServiceWorkerRegistration::Update() should block self-update during evaluation regardless of Inner implementation,1472303,P2,normal,enhancement
14706,Photon toolbar button icon drop,1355455,P1,normal,enhancement
14707,Highlight bugs with new changes/comments on search results,1472450,--,normal,enhancement
14711,"Allow to instantly search recently visited bugs, ID/aliases, keywords, components in the quick search bar",1472565,--,normal,enhancement
14713,Convert nsDisplayFilter to a WR display item,1365972,P3,normal,enhancement
14714,stylo: Enable ComputedValues sharing for lazy pseudos,1368291,P2,normal,enhancement
14715,Standardize Shader editor initialization,1470086,--,normal,enhancement
14716,Little suggestions,406099,--,normal,enhancement
14719,Stop using Rust nightly when 1.28 is stable,1473069,--,normal,enhancement
14720,Run taskgraph tests with python 3,1473144,--,normal,task
14727,[Wayland] nsWindow update for non-X11 backend,1215104,P5,normal,enhancement
14728,"converting integer literal to bool, use bool literal instead",1370794,--,normal,enhancement
14734,Add link to JSMSG_CANT_TRUNCATE_ARRAY documentation.,1371035,--,normal,enhancement
14740,[meta] Convert history notifications to the new system,1473529,P3,normal,enhancement
14741,[meta] Convert bookmark notifications to the new system,1473530,P3,normal,enhancement
14744,Use PRAGMA incremental_vacuum on favicons.sqlite,1346554,P1,normal,enhancement
14746,[meta] Assert we do not use eval() when executing with SystemPrincipal,1473549,P3,normal,enhancement
14792,spark-streaming - Prod release story,1467244,P3,normal,enhancement
14793,[meta] Use a code coverage build to find things running on timers that should be disabled during tests,1473626,--,normal,enhancement
