,BinaryClass,CosSimilarity,MultiClass,SemSimilarity,req1,req1Id,req1Priority,req1Severity,req1Type,req2,req2Id,req2Priority,req2Severity,req2Type
0,1,0,requires,0,Remove the non-mirror bookmarks engine,1449730,P3,normal,enhancement,add Media Fragments for images (spatial dimensions),790640,--,normal,enhancement
0,1,0,requires,0,Tags cannot be edited in several bugs at once,791584,P1,normal,enhancement,[meta] Intel GPUs,1479781,P1,normal,enhancement
0,1,0,requires,0,"Get rid of directory scans, and especially recursive directory scan, at startup",1356826,P1,normal,enhancement,Tags cannot be edited in several bugs at once,791584,P1,normal,enhancement
0,1,0,requires,0,support building nss on hpux with gcc and GNU-as,551188,P2,normal,enhancement,Implement page-break-inside:avoid for table cells,793692,--,normal,enhancement
0,1,0,requires,0,Simulate Fission API for communicating between parent and children processes,1493984,P3,normal,enhancement,Break on specific functions,800858,P3,normal,enhancement
0,1,0,requires,0,Remove the 'globalwatchers' parameter,802085,--,normal,task,[Meta] Android Native Tree Accessibility,1479032,--,normal,enhancement
0,1,0,requires,0,[rfe]: Scheduled search/filter/action jobs,193129,--,normal,enhancement,Remove the 'globalwatchers' parameter,802085,--,normal,task
0,1,0,requires,0,Group scripts by globals using hostAnnotations,806775,P5,normal,enhancement,Enable server/tests/browser/browser_canvasframe_helper_01.js in e10s,1478255,P3,normal,enhancement
0,1,0,requires,0,correct the autoplay result in autoplay log,1494144,--,normal,enhancement,Group scripts by globals using hostAnnotations,806775,P5,normal,enhancement
1,1,0,requires,0,stylo: The interpolation of perspective transform is not correct,1389023,P2,normal,enhancement,Group scripts by globals using hostAnnotations,806775,P5,normal,enhancement
0,1,0,requires,0,[meta] Implement the MIME Sniffing Standard,808593,--,normal,enhancement,[postgres] Implement pagination,1487757,--,normal,enhancement
1,1,0,requires,0,[meta] Implement the MIME Sniffing Standard,808593,--,normal,enhancement,Remove unused GetScrollbarPressStates method,1442695,--,normal,task
2,1,0,requires,0,[meta] Implement the MIME Sniffing Standard,808593,--,normal,enhancement,"Add the ""app_channel"" field to glean pings",1520741,P1,normal,enhancement
0,1,0,requires,0,Convert the usages of ActorPool to protocol.js Pool,1495728,P2,normal,enhancement,[meta] Implement the MIME Sniffing Standard,808593,--,normal,enhancement
0,1,0,similar,0,[meta] Implement the MIME Sniffing Standard,808593,--,normal,enhancement,"Simplify and reorganize header filter labels of advanced ""Search messages"" and ""Filter Rules"" dialogues (ux-consistent with Quick Filter Bar; improve ux-discovery and ux-efficiency)",1127267,--,normal,enhancement
0,1,0,requires,0,[Social API Campaign] Internal FB badge for Social API,810351,--,normal,task,[Static Analysis][Coverity] Update model file to support NS_RUNTIMEABORT,1359376,P2,normal,enhancement
0,1,0,requires,0,Telemetry for bfcache usage and maybe impact on service workers,1352911,P3,normal,enhancement,[Social API Campaign] Internal FB badge for Social API,810351,--,normal,task
0,1,0,requires,0,Twitter updates on Hacks start page hasn't been updated in a month,811473,P1,normal,task,Move BytecodeEmitter's related classes into separate file and expose declaration via header file,1460489,P3,normal,enhancement
0,1,0,similar,0,Twitter updates on Hacks start page hasn't been updated in a month,811473,P1,normal,task,"Quick Filter by Sender should include ""reply-to"" header matches",600928,--,normal,enhancement
0,1,0,requires,0,[meta] Implement Web Components,811542,P3,normal,enhancement,Have fullscreenerror events also aligned to the refresh driver tick,1489387,P2,normal,enhancement
1,1,0,requires,0,[meta] Implement Web Components,811542,P3,normal,enhancement,Crash report-enabling checkbox should be grouped under the Reports group,1358394,P1,normal,enhancement
2,1,0,requires,0,[meta] Implement Web Components,811542,P3,normal,enhancement,[meta] Consolidate playback and webrtc media architecture,1456748,P3,normal,enhancement
3,1,0,requires,0,[meta] Implement Web Components,811542,P3,normal,enhancement,Allow content scripts on reader mode pages,1371786,P3,normal,enhancement
4,1,0,requires,0,[meta] Implement Web Components,811542,P3,normal,enhancement,add cbindgen to tooltool manifest or releng packages,1491641,--,normal,enhancement
5,1,0,requires,0,[meta] Implement Web Components,811542,P3,normal,enhancement,Use triple buffer with DXGI_SWAP_EFFECT_FLIP_SEQUENTIAL SwapChain,1500017,P2,normal,enhancement
0,1,0,requires,0,[Social APICampaign] Copy Cheat Sheet,811554,--,normal,task,Enforce first-party isolation of alt-data created in the content process,1490461,P3,normal,enhancement
0,1,0,requires,0,Telemetry for bfcache usage and maybe impact on service workers,1352911,P3,normal,enhancement,[Social APICampaign] Copy Cheat Sheet,811554,--,normal,task
0,1,0,requires,0,should always be possible to view files files as plain text,313296,--,normal,enhancement,Developer tools: Security reports,811878,--,normal,task
0,1,0,requires,0,[meta] Implement the DOM Parsing and Serialization Standard,816409,P2,normal,enhancement,add ctypes support for aarch64 windows,1480550,P1,normal,enhancement
0,1,0,requires,0,Convert the usages of ActorPool to protocol.js Pool,1495728,P2,normal,enhancement,[meta] Implement the DOM Parsing and Serialization Standard,816409,P2,normal,enhancement
0,1,0,requires,0,Simulate Fission API for communicating between parent and children processes,1493984,P3,normal,enhancement,Break on reflow,821829,P5,normal,enhancement
0,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,stop unconditionally holding bytecode in wasm::Module,1487475,--,normal,enhancement
1,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,stylo: merge keyframe values at the same offset,1354947,P2,normal,enhancement
2,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,Multiview SDI Feed to SFO Commons pDesk Inoperative,981750,--,normal,task
3,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,There is not a way to move mail and newsgroup accounts up/down in the list,205275,--,normal,enhancement
4,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,Update webrender to ca4ee825c0fecc459c8741f05acbd90761667b75 (WR PR #3442),1516012,P3,normal,enhancement
5,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,Test verification of web-platform tests sometimes reports PASS for steps with test failures,1466923,--,normal,enhancement
6,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,Security Review: Return-to-AMO,1472197,--,normal,enhancement
7,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,Browsing context target actor: refactor context pool to use actor pool,1473511,P3,normal,enhancement
8,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,Reuse scaled fonts across blob item recordings,1480615,P3,normal,enhancement
9,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,stylo: route CSS parsing errors to the developer tools console,1352669,P1,normal,enhancement
10,1,0,requires,0,[meta] Implement pointer events,822898,P3,normal,enhancement,migrate signing server off of python 2 and puppet,1492537,--,normal,enhancement
0,1,0,requires,0,Add information about content associated with frames to scroll anchor logging,1520640,P3,normal,enhancement,[meta] Implement pointer events,822898,P3,normal,enhancement
0,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Implement initial-letter (from CSS Inline Layout Module Level 3),1223880,P3,normal,enhancement
1,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Remove nsIDOMXMLDocument,1452329,--,normal,enhancement
2,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Convert TabActor events to Protocol.js,1472670,P2,normal,enhancement
3,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Make <marquee> an optional extension,163048,--,normal,enhancement
4,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,[RFE] Option should be added to mute all sound output,179424,--,normal,enhancement
5,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Add telemetry events for new content blocking UI items,1522256,P1,normal,enhancement
6,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Support 'x' as a resolution unit.,1460655,--,normal,enhancement
7,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Please create a new collection in the security-state bucket in stage / production for cert revocations,1460664,--,normal,task
8,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Add memory reporters for large unclassified allocations reported in bug 1425756,1492263,P2,normal,enhancement
9,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Re-enable the large-border-radius-dashed.html crashtest,1474885,P1,normal,enhancement
10,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Upgrade es-py and es-dsl to 5.1.1 versions,1332364,--,normal,task
11,1,0,requires,0,[meta] Asynchronous JavaScript API for downloads,825588,--,normal,enhancement,Reduce the gunicorn HTTP timeout (max request duration) from 29 to 20 seconds,1387487,P1,normal,enhancement
0,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,nsIDOMWindowUtils::startFrameTimeRecording isn't implemented for WebRender,1488980,P1,normal,enhancement
1,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,Add flag to facilitate early landing of photon-animation work ahead of v57,1358215,P1,normal,enhancement
2,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,Remove UA Widget pref and all disabled in-content bindings,1507895,P3,normal,task
3,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,"Cleanup access to DevTools fission preference ""devtools.browsertoolbox.fission""",1575490,P1,normal,task
4,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,Monitor critical components,1480128,--,normal,enhancement
5,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,Port the previous test cases that have not been tested in new animation inspector,1449477,P3,normal,enhancement
6,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
7,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,Handle column number in IfEmitter,1476203,P3,normal,enhancement
8,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,[css-align][css-grid][css-flexbox] Implement the place-items/self/content shorthands,1319958,P2,normal,enhancement
9,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,Add CFR user preference,1500518,--,normal,enhancement
10,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,Add support for unit tests,1473295,P1,normal,task
11,1,0,requires,0,Room History: LON Commons,830955,--,normal,task,SFO-Boardroom: Projector is stalling,925154,--,normal,task
0,1,0,requires,0,Allow pinning the current page to new tab from page action menu,1433213,P3,normal,enhancement,Room History: LON Commons,830955,--,normal,task
0,1,0,requires,0,"Room History: LON-303 (Allo, Allo)",830963,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
1,1,0,requires,0,"Room History: LON-303 (Allo, Allo)",830963,--,normal,task,[css-align][css-grid][css-flexbox] Implement the place-items/self/content shorthands,1319958,P2,normal,enhancement
2,1,0,requires,0,"Room History: LON-303 (Allo, Allo)",830963,--,normal,task,Add classes to the rule when it is uneditable or unmatched,1521270,P3,normal,enhancement
0,1,0,requires,0,Allow pinning the current page to new tab from page action menu,1433213,P3,normal,enhancement,"Room History: LON-303 (Allo, Allo)",830963,--,normal,task
0,1,0,requires,0,Room History: LON-344 (Fawlty Towers),830964,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
1,1,0,requires,0,Room History: LON-344 (Fawlty Towers),830964,--,normal,task,[css-align][css-grid][css-flexbox] Implement the place-items/self/content shorthands,1319958,P2,normal,enhancement
2,1,0,requires,0,Room History: LON-344 (Fawlty Towers),830964,--,normal,task,Add classes to the rule when it is uneditable or unmatched,1521270,P3,normal,enhancement
0,1,0,requires,0,Allow pinning the current page to new tab from page action menu,1433213,P3,normal,enhancement,Room History: LON-344 (Fawlty Towers),830964,--,normal,task
0,1,0,requires,0,Simulate Fission API for communicating between parent and children processes,1493984,P3,normal,enhancement,Conditional pause on exceptions,836298,P5,normal,enhancement
1,1,0,requires,0,Autoimport Redesign Based off of usertesting.com results,1357497,P1,normal,enhancement,Conditional pause on exceptions,836298,P5,normal,enhancement
0,1,0,requires,0,Compare performance result link should take me to a comparison for that test,1382371,P3,normal,enhancement,Implement ES6 classes,837314,--,normal,task
0,1,0,requires,0,[meta] Implement the HTML5 dialog element,840640,--,normal,enhancement,Remove deprecated Firefox UI security tests,1573393,P1,normal,task
0,1,0,requires,0,Investigation: Use and declare metrics across multiple libraries making up an application,1523307,P1,normal,enhancement,[meta] Implement the HTML5 dialog element,840640,--,normal,enhancement
1,1,0,requires,0,Add option to only show applied styles,1335327,P2,normal,enhancement,[meta] Implement the HTML5 dialog element,840640,--,normal,enhancement
0,1,0,requires,0,[meta] A new Thunderbird address book,841598,P3,normal,enhancement,Launcher process: Consider --disable-e10s to also disable the launcher process in local builds,1495628,P3,normal,enhancement
0,1,0,requires,0,Convert more test archives away from zip files,1367157,--,normal,enhancement,[meta] A new Thunderbird address book,841598,P3,normal,enhancement
0,1,0,requires,0,correct the autoplay result in autoplay log,1494144,--,normal,enhancement,Display scripts that no longer exist in the debugger when accessed via the console,842937,P5,normal,enhancement
0,1,0,requires,0,Integrate Firefox DevTools into SeaMonkey,842942,--,normal,enhancement,Expose TIME_TO_NON_BLANK_PAINT as Performance Entry behind pref,1377251,--,normal,enhancement
0,1,0,similar,0,Integrate Firefox DevTools into SeaMonkey,842942,--,normal,enhancement,passwordreset.mozilla.org has an invalid certificate chain,1365378,--,normal,task
0,1,0,requires,0,Implement CSS Counter Styles Level 3,843718,--,normal,enhancement,[dt-addon] enable devtools addon in safe mode,1382194,P2,normal,enhancement
1,1,0,requires,0,Implement CSS Counter Styles Level 3,843718,--,normal,enhancement,Complete web page saved as single archive file,141650,--,normal,enhancement
2,1,0,requires,0,Implement CSS Counter Styles Level 3,843718,--,normal,enhancement,Implement browsingData.removeCache WebExtension API method on android,1362996,P5,normal,enhancement
3,1,0,requires,0,Implement CSS Counter Styles Level 3,843718,--,normal,enhancement,[meta] Quantum MVP - Release Criteria for Firefox 57,1370336,--,normal,enhancement
0,1,0,requires,0,Watchpoints for typed arrays,846323,P5,normal,enhancement,No write in LDAP adressbook,541348,--,normal,enhancement
0,1,0,requires,0,Simulate Fission API for communicating between parent and children processes,1493984,P3,normal,enhancement,Watchpoints for typed arrays,846323,P5,normal,enhancement
0,1,0,requires,0,Investigation: Use and declare metrics across multiple libraries making up an application,1523307,P1,normal,enhancement,Implement HTMLMediaElement.getStartDate(),847376,P5,normal,enhancement
0,1,0,requires,0,"[css3-page] implement @page { size: <length>{1,2} | <page-size> }",851937,--,normal,enhancement,Implement UrlbarInput::textValue getter,1494334,P2,normal,task
0,1,0,requires,0,[meta] wr-linux,1491303,P1,normal,enhancement,"[css3-page] implement @page { size: <length>{1,2} | <page-size> }",851937,--,normal,enhancement
0,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,[meta] potential data types to sync,530399,--,normal,enhancement
1,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Add plumbing for Telemetry for new network process,1486033,P3,normal,enhancement
2,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Enhancement request for about:config to make it more usable,437462,--,normal,enhancement
3,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Run tasks under unique OS user accounts on darwin (macOS),1499051,P2,normal,task
4,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,[a11y] Feedback needed for Form Autofill UX design,1347084,--,normal,enhancement
5,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Add support for CSS prefers-reduced-motion media feature for Android,1478505,P3,normal,enhancement
6,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,[Wayland] - Workaround for CAIRO_SUBSURFACE types,1215082,--,normal,enhancement
7,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Remove UA Widget pref and all disabled in-content bindings,1507895,P3,normal,task
8,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,"Cleanup access to DevTools fission preference ""devtools.browsertoolbox.fission""",1575490,P1,normal,task
9,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Monitor critical components,1480128,--,normal,enhancement
10,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
11,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Audio Feed to LON  AirMo encoder inoperative.,1096335,--,normal,task
12,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,[css-align][css-grid][css-flexbox] Implement the place-items/self/content shorthands,1319958,P2,normal,enhancement
13,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Adding color inputs to the color picker,1478154,P3,normal,enhancement
14,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Add CFR user preference,1500518,--,normal,enhancement
15,1,0,requires,0,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task,Add support for unit tests,1473295,P1,normal,task
0,1,0,requires,0,Allow pinning the current page to new tab from page action menu,1433213,P3,normal,enhancement,Room History: PAR-123 Commons (Salle Des Fêtes),852141,--,normal,task
0,1,0,requires,0,Room History: PAR-024 (Apero),852615,--,normal,task,"Cleanup access to DevTools fission preference ""devtools.browsertoolbox.fission""",1575490,P1,normal,task
1,1,0,requires,0,Room History: PAR-024 (Apero),852615,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
2,1,0,requires,0,Room History: PAR-024 (Apero),852615,--,normal,task,[css-align][css-grid][css-flexbox] Implement the place-items/self/content shorthands,1319958,P2,normal,enhancement
0,1,0,requires,0,Allow pinning the current page to new tab from page action menu,1433213,P3,normal,enhancement,Room History: PAR-024 (Apero),852615,--,normal,task
0,1,0,requires,0,"Add ""Android 5.0 x86-64"" build task name to thPlatformMap",1494202,--,normal,enhancement,"Create an easy way to ""Undo"" a Reset",853678,--,normal,enhancement
0,1,0,requires,0,Nuke panel's global when the toolbox closes,859371,--,normal,enhancement,META: Year-end fundraising 'disruptive' snippet in play during last week of December,1112340,--,normal,task
0,1,0,requires,0,Allow enable/disable via ASR devtools,1500073,--,normal,enhancement,Nuke panel's global when the toolbox closes,859371,--,normal,enhancement
0,1,0,requires,0,Support running crashtests in isolation,1507767,--,normal,enhancement,"[meta][webvtt] Implement vtt css-extensions (::cue, ::cue-region, :past, :future)",865395,P3,normal,enhancement
0,1,0,requires,0,ARM64: Implement visitShiftI and visitUrshD,1499536,--,normal,enhancement,add API to hibernate and stash tabs & windows,865594,--,normal,enhancement
1,1,0,requires,0,Allow multiple custom search criteria to match one flag or one attachment,677757,P1,normal,enhancement,add API to hibernate and stash tabs & windows,865594,--,normal,enhancement
0,1,0,requires,0,implement CSS3 text module's text-decoration-style and text-decoration-color,59109,P3,normal,enhancement,Bump MySQL minimum requirement to 5.5.8 to support 4-bytes Unicode characters (utf8mb4),868867,--,normal,enhancement
0,1,0,requires,0,Move findbar to the top,869543,--,normal,enhancement,Remove empty binding & investigate the performance gain caused by it,1458375,P2,normal,task
0,1,0,similar,0,Move findbar to the top,869543,--,normal,enhancement,Wayland - don't use CurrentX11TimeGetter,1348310,P2,minor,enhancement
1,1,0,similar,0,Move findbar to the top,869543,--,normal,enhancement,[remote-dbg-next] Mention web-ext in new about:debugging addons section,1500355,P3,normal,enhancement
2,1,0,similar,0,Move findbar to the top,869543,--,normal,enhancement,Address book should have full vCard 4.0 RFC 6350 and RFC2426 (vCard 3.0) support,29106,--,normal,enhancement
3,1,0,similar,0,Move findbar to the top,869543,--,normal,enhancement,Consider converting the R analysis code for RAPPOR to python,1386554,P1,normal,enhancement
0,1,0,requires,0,"Ongoing/active/current downloads should always appear first in the download manager, and finished/completed/done below",870659,--,normal,enhancement,Tree widgets should support editable content within hierarchical data structures (inline edit),201499,--,normal,enhancement
0,1,0,requires,0,Stop dispatching runnables to busy threads from the audio callback,1443886,P2,normal,enhancement,"Ongoing/active/current downloads should always appear first in the download manager, and finished/completed/done below",870659,--,normal,enhancement
0,1,0,requires,0,Include the fractional transform when drawing blob images,1461849,P1,normal,enhancement,[CSP] implement unsafe-eval for style-src per CSP 1.1. spec,873302,P3,normal,enhancement
0,1,0,requires,0,Implement fragment overflow feature from the CSS Overflow Module Level 4 spec,874238,--,normal,enhancement,support building nss on hpux with gcc and GNU-as,551188,P2,normal,enhancement
1,1,0,requires,0,Implement fragment overflow feature from the CSS Overflow Module Level 4 spec,874238,--,normal,enhancement,Run all MediaDataDecoder in their own decoder process,1471535,P2,normal,enhancement
0,1,0,requires,0,"Implement the ""metrics"" ping",1497893,P1,normal,enhancement,Implement fragment overflow feature from the CSS Overflow Module Level 4 spec,874238,--,normal,enhancement
0,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,"Context menus should include ""Submit form in new window""",20808,P3,normal,enhancement
1,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,"Instrument inspection of ""Throttling"" in the Network Panel with event telemetry",1463147,P2,normal,enhancement
2,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,Add strict CSP headers for API endpoints,1333883,P5,normal,enhancement
3,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,Create a Linux-Based CFI Build,1465549,--,normal,enhancement
4,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,[meta] Service Worker Data Collection,1328391,P3,normal,task
5,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,Implement support for -moz-window-dragging in GTK and remove toolkit toolbar-drag binding,1241885,P5,normal,task
6,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,"""Force JavaScript link to open in new window or new tab""",55696,--,normal,enhancement
7,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,Add fwrapv security flag,1359926,--,normal,enhancement
8,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,"RFE - Make ""sound events"" configurable per channel",285270,--,normal,enhancement
9,1,0,requires,0,[meta] Debugger blackboxing,875034,P5,normal,task,"Reproducible ""Green Line"" Sync Error in ATEM",999186,P1,normal,task
0,1,0,requires,0,[meta] Implement Web Animations,875219,--,normal,enhancement,quantum graphics builds and tests on m-c,1335197,--,normal,task
1,1,0,requires,0,[meta] Implement Web Animations,875219,--,normal,enhancement,Get rid of nsIDOMMouseScrollEvent,1446850,P2,normal,enhancement
0,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Enhancement request for about:config to make it more usable,437462,--,normal,enhancement
1,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Remove eval from tests and flip assertion flag,1512949,P3,normal,enhancement
2,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,[meta] Remove support for Windows XP/Vista,1130266,P1,minor,task
3,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Implement the first version of heuristic algorithm.,1349490,P1,normal,enhancement
4,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Remove UA Widget pref and all disabled in-content bindings,1507895,P3,normal,task
5,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,"Cleanup access to DevTools fission preference ""devtools.browsertoolbox.fission""",1575490,P1,normal,task
6,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,MessageChannel does not work with SharedArrayBuffer,1360190,P3,normal,enhancement
7,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Monitor critical components,1480128,--,normal,enhancement
8,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Implement moztelemetry apis in MozData,1463268,P1,normal,enhancement
9,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Implement logging on MozData,1463271,P1,normal,enhancement
10,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
11,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,[remote-dbg-next] Runtime page after losing connection,1512662,P3,normal,enhancement
12,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Ensure process switches are supported for ServiceWorker-intercepted channels,1522649,P2,normal,enhancement
13,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Add support for specifying 'font-stretch' in the CSS 'font' shorthand,1057680,--,normal,enhancement
14,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Carry over QR Code based WiFi authentication,1478190,P3,normal,enhancement
15,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,[meta] Migrate about:addons to about:prefs (Medley),1453824,--,normal,enhancement
16,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,add ctypes support for aarch64 windows,1480550,P1,normal,enhancement
17,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Add illustration to about:license,1361695,P1,normal,enhancement
18,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Parasite URL's,182059,--,normal,enhancement
19,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Tracking bug for handover of Web Extension security design work,1492794,--,normal,task
20,1,0,requires,0,Room History: SFO-152 Commons,875792,--,normal,task,Add support for unit tests,1473295,P1,normal,task
0,1,0,requires,0,Allow pinning the current page to new tab from page action menu,1433213,P3,normal,enhancement,Room History: SFO-152 Commons,875792,--,normal,task
0,1,0,requires,0,Room History: SFO-132 Americano,875799,--,normal,task,write a WPT verifying workers get their own client ID,1451124,P2,normal,enhancement
1,1,0,requires,0,Room History: SFO-132 Americano,875799,--,normal,task,Remove unused netmonitor webpack config as well as devtools/shared/webpack,1505309,P3,normal,enhancement
2,1,0,requires,0,Room History: SFO-132 Americano,875799,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
3,1,0,requires,0,Room History: SFO-132 Americano,875799,--,normal,task,Use idleDispatch for Places expiration,1376533,P1,normal,enhancement
4,1,0,requires,0,Room History: SFO-132 Americano,875799,--,normal,task,Allow to edit LDAP vCard,275476,--,normal,enhancement
0,1,0,requires,0,Allow pinning the current page to new tab from page action menu,1433213,P3,normal,enhancement,Room History: SFO-132 Americano,875799,--,normal,task
0,1,0,requires,0,Room History: SFO-232 Ansel Adams,875800,--,normal,task,write a WPT verifying workers get their own client ID,1451124,P2,normal,enhancement
1,1,0,requires,0,Room History: SFO-232 Ansel Adams,875800,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
2,1,0,requires,0,Room History: SFO-232 Ansel Adams,875800,--,normal,task,Use idleDispatch for Places expiration,1376533,P1,normal,enhancement
3,1,0,requires,0,Room History: SFO-232 Ansel Adams,875800,--,normal,task,Move the update directory to a common installation specific location,1458314,P1,normal,enhancement
4,1,0,requires,0,Room History: SFO-232 Ansel Adams,875800,--,normal,task,Get rid of nsIDOMScreen,1450418,--,normal,enhancement
5,1,0,requires,0,Room History: SFO-232 Ansel Adams,875800,--,normal,task,RFE provide a way to prioritize connections,142255,P5,normal,enhancement
6,1,0,requires,0,Room History: SFO-232 Ansel Adams,875800,--,normal,task,Fix zero as null pointer constant warning in TimeStamp on Windows with clang-cl,1477160,--,normal,enhancement
0,1,0,requires,0,Allow pinning the current page to new tab from page action menu,1433213,P3,normal,enhancement,Room History: SFO-232 Ansel Adams,875800,--,normal,task
0,1,0,requires,0,Room History: SFO-153 Cappuccino,875802,--,normal,task,write a WPT verifying workers get their own client ID,1451124,P2,normal,enhancement
1,1,0,requires,0,Room History: SFO-153 Cappuccino,875802,--,normal,task,Add histogram sums (and possibly counts) to main_summary,1461335,P3,normal,enhancement
